team_name,week,points,name,tp_names,tp_points,opponent,h2h_win,points_against,top6_win
Edward  Jordyhands,1,126.94,tp1,J. Jacobs,33.9,American Russell,1,82.88,1
Edward  Jordyhands,1,126.94,tp2,J. Jones,21.2,American Russell,1,82.88,1
Edward  Jordyhands,1,126.94,tp3,D. Prescott,17.64,American Russell,1,82.88,1
American Russell,1,82.88,tp1,R. Wilson,32.78,Edward  Jordyhands,0,126.94,0
American Russell,1,82.88,tp2,K. Drake,13.5,Edward  Jordyhands,0,126.94,0
American Russell,1,82.88,tp3,T. Hill,13.1,Edward  Jordyhands,0,126.94,0
49ers 14-6,1,78.0,tp1,M. Andrews,20.3,Double D Kupps,0,140.2,0
49ers 14-6,1,78.0,tp2,D. Brees,14.4,Double D Kupps,0,140.2,0
49ers 14-6,1,78.0,tp3,Buf D,11,Double D Kupps,0,140.2,0
Double D Kupps,1,140.2,tp1,C. Ridley,30.4,49ers 14-6,1,78.0,1
Double D Kupps,1,140.2,tp2,M. Ryan,25.9,49ers 14-6,1,78.0,1
Double D Kupps,1,140.2,tp3,D. Cook,21.3,49ers 14-6,1,78.0,1
Tua Legit Tua Quit,1,127.7,tp1,C. Newton,25.7,Clapped Cheeks,1,67.06,1
Tua Legit Tua Quit,1,127.7,tp2,R. Mostert,23.1,Clapped Cheeks,1,67.06,1
Tua Legit Tua Quit,1,127.7,tp3,J. Smith,21.9,Clapped Cheeks,1,67.06,1
Clapped Cheeks,1,67.06,tp1,D. Hopkins,23.1,Tua Legit Tua Quit,0,127.7,0
Clapped Cheeks,1,67.06,tp2,B. Roethlisberger,22.06,Tua Legit Tua Quit,0,127.7,0
Clapped Cheeks,1,67.06,tp3,T. Hilton,7.3,Tua Legit Tua Quit,0,127.7,0
The Mahomies,1,117.2,tp1,D. Adams,35.6,Smoke Herb Everyday,1,100.3,1
The Mahomies,1,117.2,tp2,K. Murray,26.3,Smoke Herb Everyday,1,100.3,1
The Mahomies,1,117.2,tp3,Bal D,15,Smoke Herb Everyday,1,100.3,1
Smoke Herb Everyday,1,100.3,tp1,L. Jackson,27.5,The Mahomies,0,117.2,0
Smoke Herb Everyday,1,100.3,tp2,C. Carson,21.6,The Mahomies,0,117.2,0
Smoke Herb Everyday,1,100.3,tp3,M. Brown,13.6,The Mahomies,0,117.2,0
¯\_(ツ)_/¯ ¯\_(ツ)_/¯,1,101.86,tp1,A. Rodgers,31.76,It Ertz  When I Pee,1,94.52,0
¯\_(ツ)_/¯ ¯\_(ツ)_/¯,1,101.86,tp2,R. Woods,15.9,It Ertz  When I Pee,1,94.52,0
¯\_(ツ)_/¯ ¯\_(ツ)_/¯,1,101.86,tp3,A. Cooper,13.1,It Ertz  When I Pee,1,94.52,0
It Ertz  When I Pee,1,94.52,tp1,D. Watson,20.82,¯\_(ツ)_/¯ ¯\_(ツ)_/¯,0,101.86,0
It Ertz  When I Pee,1,94.52,tp2,D. Metcalf,17.5,¯\_(ツ)_/¯ ¯\_(ツ)_/¯,0,101.86,0
It Ertz  When I Pee,1,94.52,tp3,W. Fuller V,16.2,¯\_(ツ)_/¯ ¯\_(ツ)_/¯,0,101.86,0
