WEEK,OPP,TD,INT,FR,SCK,SFTY,BLK,PA,FPTS,Lions D
1,Chi,0,0,0,1,0,0,27,1,
2,@GB,0,0,0,1,0,0,36,-7,
3,@Ari,0,3,0,1,0,0,23,6,
4,NO,0,1,0,2,0,0,35,1,
5,BYE,--,--,--,--,--,--,--,--,
6,@Jax,0,1,1,1,0,0,16,10,
7,@Atl,0,0,1,2,0,0,22,5,
8,Ind,0,0,0,2,0,1,35,1,
9,@Min,0,0,0,1,0,2,34,-1,
10,Wsh,0,0,1,2,0,0,27,1,
11,@Car,0,2,0,1,0,0,20,5,
12,Hou,0,0,1,2,0,0,35,1,
13,@Chi,0,0,1,2,0,1,30,5,
14,GB,0,0,0,0,0,0,31,-4,
15,@Ten,0,0,0,1,1,0,46,-7,
16,TB,1,0,0,2,0,0,47,-3,
17,Min,0,0,0,3,0,0,37,-4,
1,@Car,0,0,0,1,0,0,30,-1,Raiders
2,NO,0,1,0,0,0,0,24,-1,
3,@NE,0,1,0,2,0,0,30,0,
4,Buf,0,0,0,1,0,0,30,0,
5,@KC,0,1,0,3,0,0,32,1,
6,BYE,--,--,--,--,--,--,--,--,
7,TB,0,0,0,0,0,0,45,-7,
8,@Cle,0,0,1,0,0,0,6,9,
9,@LAC,0,0,1,2,0,0,26,2,
10,Den,0,4,1,2,0,0,12,17,
11,KC,0,1,0,0,0,0,35,-6,
12,@Atl,0,1,0,1,0,0,37,0,
13,@NYJ,0,1,2,3,0,0,28,9,
14,Ind,0,0,0,0,0,0,38,-8,
15,LAC,0,0,0,1,0,0,30,-2,
16,Mia,0,0,0,3,0,0,26,2,
17,@Den,0,0,0,2,0,2,31,2,
1,@KC,0,0,0,1,0,0,34,-1,Texans
2,Bal,0,0,0,4,0,0,27,1,
3,@Pit,0,0,0,2,0,0,28,1,
4,Min,0,0,0,3,0,0,31,-1,
5,Jax,0,0,2,4,0,0,14,9,
6,@Ten,0,1,1,2,0,1,42,-1,
7,GB,0,0,0,0,0,1,35,-2,
8,BYE,--,--,--,--,--,--,--,--,
9,@Jax,0,1,0,2,0,0,25,2,
10,@Cle,0,0,0,1,0,0,10,3,
11,NE,0,0,0,2,0,0,20,-1,
12,@Det,1,1,2,4,0,0,25,18,
13,Ind,0,0,0,3,0,0,24,2,
14,@Chi,0,0,0,3,0,0,34,-1,
15,@Ind,0,0,0,1,0,0,27,0,
16,Cin,0,0,0,0,0,0,37,-9,
17,Ten,0,0,1,2,0,0,41,-2,
1,Ind,0,2,0,1,0,0,20,2,Jaguars
2,@Ten,0,0,0,1,0,0,33,-1,
3,Mia,0,0,0,1,0,0,31,2,
4,@Cin,0,1,0,1,0,0,33,-4,
5,@Hou,0,2,0,1,0,0,30,0,
6,Det,0,1,0,0,0,0,34,-2,
7,@LAC,1,0,0,1,0,1,39,1,
8,BYE,--,--,--,--,--,--,--,--,
9,Hou,0,0,1,2,0,0,27,4,
10,@GB,1,1,1,1,0,0,24,12,
11,Pit,0,1,0,0,0,0,27,1,
12,Cle,0,0,1,2,0,0,27,0,
13,@Min,1,1,1,4,0,0,25,12,
14,Ten,0,0,1,1,0,0,31,-2,
15,@Bal,0,1,0,1,0,0,38,-1,
16,Chi,0,1,0,1,0,0,41,1,
17,@Ind,0,1,0,0,0,0,28,-1,
1,LAC,0,0,0,2,0,0,16,2,Bengals
2,@Cle,0,1,0,0,0,0,35,-4,
3,@Phi,0,2,0,3,0,0,23,7,
4,Jax,0,1,0,3,0,0,25,2,
5,@Bal,0,1,0,1,0,0,21,3,
6,@Ind,0,1,1,1,0,0,31,1,
7,Cle,0,1,0,0,0,0,37,-2,
8,Ten,0,1,0,1,0,0,20,0,
9,BYE,--,--,--,--,--,--,--,--,
10,@Pit,0,0,0,0,0,0,36,-4,
11,@Wsh,0,1,0,2,0,0,20,5,
12,NYG,1,0,1,0,0,0,19,8,
13,@Mia,0,0,1,0,0,0,19,0,
14,Dal,0,0,0,2,0,0,24,4,
15,Pit,0,1,2,1,0,0,17,12,
16,@Hou,0,0,1,1,0,0,31,1,
17,Bal,0,1,0,0,0,0,38,-7,
1,GB,0,0,0,0,0,0,41,-8,Vikings
2,@Ind,0,1,0,2,0,0,26,4,
3,Ten,0,1,0,2,0,0,31,1,
4,@Hou,0,0,1,3,0,0,23,5,
5,@Sea,0,1,0,4,0,0,27,6,
6,Atl,0,0,1,2,0,0,40,-2,
7,BYE,--,--,--,--,--,--,--,--,
8,@GB,0,0,1,1,0,0,22,1,
9,Det,0,3,0,2,0,0,20,6,
10,@Chi,0,1,1,2,0,0,13,14,
11,Dal,0,1,0,1,0,1,31,3,
12,Car,0,1,0,0,0,1,15,4,
13,Jax,0,2,2,2,1,0,18,13,
14,@TB,0,0,0,0,0,0,26,0,
15,Chi,0,1,0,1,0,0,33,1,
16,@NO,0,2,0,0,0,0,52,-8,
17,@Det,0,1,1,1,0,0,35,0,
1,@Den,0,0,1,0,0,0,14,5,Titans
2,Jax,0,2,0,2,0,0,30,0,
3,@Min,0,2,1,2,0,0,30,3,
4,BYE,--,--,--,--,--,--,--,--,
5,Buf,0,2,1,1,0,0,16,9,
6,Hou,0,0,0,2,0,0,36,-4,
7,Pit,0,3,0,0,0,0,27,7,
8,@Cin,0,0,0,0,0,0,31,-2,
9,Chi,1,0,2,3,0,0,17,15,
10,Ind,0,0,0,1,0,0,34,-3,
11,@Bal,0,1,0,1,0,0,24,3,
12,@Ind,1,1,0,2,0,0,26,10,
13,Cle,0,0,1,0,0,0,41,-5,
14,@Jax,0,1,0,0,0,1,10,6,
15,Det,0,1,2,0,0,0,23,5,
16,@GB,0,1,0,1,0,0,40,-3,
17,@Hou,0,1,0,4,0,0,38,-2,
1,@Buf,0,0,2,3,0,0,27,6,Jets
2,SF,0,1,0,3,0,0,31,4,
3,@Ind,0,0,0,0,0,0,22,-1,
4,Den,1,3,0,0,0,0,37,8,
5,Ari,0,1,0,1,0,0,30,-3,
6,@Mia,0,2,0,2,0,0,24,6,
7,Buf,0,0,1,2,0,0,18,2,
8,@KC,0,0,0,0,0,0,35,-7,
9,NE,0,0,0,0,0,0,30,-3,
10,BYE,--,--,--,--,--,--,--,--,
11,@LAC,0,0,1,3,1,1,28,8,
12,Mia,0,0,2,4,0,0,20,12,
13,LV,0,1,1,2,0,0,31,4,
14,@Sea,0,1,0,1,0,0,40,-3,
15,@LAR,0,1,0,3,0,1,20,7,
16,Cle,0,0,2,4,0,0,16,14,
17,@NE,0,0,0,3,0,0,28,0,
1,Sea,0,0,0,3,0,0,38,-1,Falcons
2,@Dal,0,0,3,1,0,0,40,1,
3,Chi,0,2,0,2,0,0,30,4,
4,@GB,0,0,0,1,0,0,30,-3,
5,Car,0,0,0,0,0,0,23,-3,
6,@Min,0,3,0,1,0,0,23,6,
7,Det,0,0,0,2,0,0,23,1,
8,@Car,0,1,0,3,0,0,17,6,
9,Den,0,1,0,1,0,0,27,1,
10,BYE,--,--,--,--,--,--,--,--,
11,@NO,0,0,1,3,0,0,24,5,
12,LV,1,1,4,5,0,0,6,31,
13,NO,0,0,1,2,0,0,21,3,
14,@LAC,0,1,0,1,0,0,20,5,
15,TB,0,0,0,3,0,0,31,0,
16,@KC,0,2,0,0,0,0,17,4,
17,@TB,0,1,0,1,0,0,44,-5,
1,@LAR,0,1,0,1,0,0,20,0,Cowboys
2,Atl,0,0,0,1,0,0,39,-3,
3,@Sea,0,0,0,4,0,0,36,-1,
4,Cle,0,0,0,2,0,0,49,-9,
5,NYG,1,0,1,2,0,0,28,10,
6,Ari,0,0,0,1,0,0,38,-5,
7,@Wsh,0,0,0,2,0,0,23,1,
8,@Phi,0,2,2,4,0,0,15,18,
9,Pit,0,0,0,0,0,1,24,1,
10,BYE,--,--,--,--,--,--,--,--,
11,@Min,0,0,2,2,0,0,28,5,
12,Wsh,0,1,0,3,0,0,35,2,
13,@Bal,0,1,0,0,0,0,34,-2,
14,@Cin,1,0,3,2,0,0,7,19,
15,SF,1,2,2,2,0,0,33,12,
16,Phi,0,2,1,3,0,0,17,9,
17,@NYG,0,1,1,2,0,0,23,6,
1,Ten,0,0,0,1,0,1,16,3,Broncos
2,@Pit,0,1,1,1,0,0,24,3,
3,TB,0,0,0,2,0,1,26,3,
4,@NYJ,0,0,0,6,0,0,22,6,
5,BYE,--,--,--,--,--,--,--,--,
6,@NE,0,2,1,4,0,0,12,18,
7,KC,0,0,1,4,0,0,37,7,
8,LAC,0,2,0,2,0,0,30,0,
9,@Atl,0,1,0,2,0,0,34,2,
10,@LV,0,0,0,0,0,0,37,-4,
11,Mia,0,1,0,6,0,0,13,13,
12,NO,0,1,0,3,0,0,31,8,
13,@KC,0,0,0,1,0,0,22,-2,
14,@Car,1,0,0,4,0,0,27,9,
15,Buf,0,0,1,1,0,0,42,-5,
16,@LAC,0,0,0,2,0,0,19,3,
17,LV,0,2,2,3,0,0,32,7,
1,@Cin,0,1,1,3,0,0,13,13,Chargers
2,KC,0,0,0,1,0,1,23,0,
3,Car,0,0,0,2,0,1,21,4,
4,@TB,1,1,0,0,0,0,38,0,
5,@NO,0,1,0,2,0,0,30,1,
6,BYE,--,--,--,--,--,--,--,--,
7,Jax,0,0,1,5,0,0,29,9,
8,@Den,0,1,0,2,0,0,31,2,
9,LV,0,0,1,1,0,0,31,3,
10,@Mia,0,0,1,0,0,0,29,3,
11,NYJ,1,1,0,1,0,0,28,10,
12,@Buf,0,1,2,3,0,0,27,10,
13,NE,0,0,0,1,0,0,45,1,
14,Atl,0,3,0,2,0,0,17,9,
15,@LV,0,1,0,1,0,0,27,0,
16,Den,0,2,0,2,0,0,16,6,
17,@KC,0,0,1,1,1,0,21,7,
1,@Atl,0,1,1,2,0,0,25,1,Seahawks
2,NE,0,1,0,1,0,0,24,-2,
3,Dal,0,2,1,2,1,1,31,6,
4,@Mia,0,2,0,1,0,0,23,3,
5,Min,0,1,1,3,0,0,26,6,
6,BYE,--,--,--,--,--,--,--,--,
7,@Ari,0,1,1,0,0,0,37,-3,
8,SF,0,1,1,3,0,0,27,8,
9,@Buf,0,0,0,7,0,0,44,1,
10,@LAR,0,0,1,3,0,0,23,5,
11,Ari,0,0,0,3,1,0,21,5,
12,@Phi,0,1,0,6,0,0,17,11,
13,NYG,0,1,0,2,1,1,17,11,
14,NYJ,0,0,1,3,0,0,3,15,
15,@Wsh,0,2,0,4,0,0,15,9,
16,LAR,0,1,0,3,0,0,9,9,
17,@SF,0,0,1,3,0,0,23,6,
1,Mia,0,3,0,1,0,0,11,12,Patriots
2,@Sea,1,1,0,2,0,0,35,4,
3,LV,1,0,3,2,0,0,20,16,
4,@KC,0,0,1,1,0,0,20,4,
5,BYE,--,--,--,--,--,--,--,--,
6,Den,0,2,0,2,0,0,18,8,
7,SF,0,2,0,1,0,1,33,1,
8,@Buf,0,1,0,1,0,0,24,3,
9,@NYJ,0,1,0,1,0,0,27,3,
10,Bal,0,1,0,2,0,0,17,4,
11,@Hou,0,0,0,0,0,0,27,-1,
12,Ari,0,1,0,2,0,0,17,7,
13,@LAC,2,2,0,3,0,1,0,28,
14,@LAR,0,1,0,1,0,0,18,3,
15,@Mia,0,1,0,2,0,0,22,3,
16,Buf,0,0,0,0,0,0,38,-7,
17,NYJ,0,2,0,3,0,0,14,7,
1,LV,0,0,0,0,0,0,34,-1,Panthers
